ID	actual	expected
0	So let it be with Caesar. The noble fruited	So let it be with Caesar. The noble Brutus
1	had told you Caesar was ambitious.	Hath told you Caesar was ambitious.
2	If it were so, he would agree with us both,	If it were so, it was a grievous fault,
3	and grievously have Caesar answered it.	And grievously hath Caesar answered it.
4	Here under leave of fruited and the rest	Here, under leave of Brutus and the rest
5	for fruited is an honorable man.	(For Brutus is an honorable man;
6	So are they all, all honorable men,	So are they all, all honorable men),
7	come out seeking Caesar's funeral.	Come I to speak in Caesar’s funeral.
8	He was my friend, faithful and just to me,	He was my friend, faithful and just to me,
9	but brutal sales he was ambitious,	But Brutus says he was ambitious,
10	and brutal is an honorable man.	And Brutus is an honorable man.
11	He has brought many captive homes to Rome	He hath brought many captives home to Rome,
12	whose ransomed is a general copper field.	Whose ransoms did the general coffers fill.
13	Is this in Caesar's team ambitious,	Did this in Caesar seem ambitious?
14	when the poor have cried? Caesar has weapons.	When that the poor have cried, Caesar hath wept;
15	Ambition should be made of earner stuff.	Ambition should be made of sterner stuff.
16	A fruited sales he was ambitious,	Yet Brutus says he was ambitious,
17	and brutal is an honorable man.	And Brutus is an honorable man.
18	You all did see that Honolue Bertel,	You all did see that on the Lupercal
19	I twice presented him a kingly crown,	I thrice presented him a kingly crown,
20	which he disfrized refused, for this ambition	Which he did thrice refuse. Was this ambition?
21	yet brutal sales he was ambitious,	Yet Brutus says he was ambitious,
22	and sure he is an honorable man.	And sure he is an honorable man.
23	I speak not to this true, what brutal folks,	I speak not to disprove what Brutus spoke,
24	but here I am speak, but I do know,	But here I am to speak what I do know.
25	you all did love him once, not without cause,	You all did love him once, not without cause.
26	but cause with all you then the mourn for him,	What cause withholds you, then, to mourn for him?—
27	all judgment not fled to brutish peace,	O judgment, thou art fled to brutish beasts,
28	and men have lost their reason, or of farewell with me.	And men have lost their reason!—Bear with me;
29	My heart is in the coffin there with Caesar,	My heart is in the coffin there with Caesar,
30	and I must cause shall it come back to me.	And I must pause till it come back to me.
31	But yesterday the word of Caesar might	But yesterday the word of Caesar might
32	have stood against the world, now I see there	Have stood against the world. Now lies he there,
33	an untold poor to do him reverence,	And none so poor to do him reverence.
34	for masters if I would expose to	O masters, if I were disposed to stir
35	your heart and mind, to newtonian rage	Your hearts and minds to mutiny and rage,
36	I should do brutal flung, and cash your throng,	I should do Brutus wrong and Cassius wrong,
37	who you all know are honorable men.	Who, you all know, are honorable men.
38	I will not do them wrong, I rather choose	I will not do them wrong. I rather choose
39	the wrong that is dead, the wrong myself and you,	To wrong the dead, to wrong myself and you,
40	than I will wrong such honorable men.	Than I will wrong such honorable men.
41	But here's a parchment with a seal of Caesar,	But here’s a parchment with the seal of Caesar.
42	I found it in his cot, it is his will,	I found it in his closet. ’Tis his will.
43	let for the common fear this testament	Let but the commons hear this testament,
44	which pardon me, I do not mean to read,	Which, pardon me, I do not mean to read,
45	and they would go and kiss their Caesar's wounds,	And they would go and kiss dead Caesar’s wounds
46	and give them napkins in his sacred blood.	And dip their napkins in his sacred blood—
47	He begs a tear of him from memory,	Yea, beg a hair of him for memory
48	and dying, mentioned it within their will,	And, dying, mention it within their wills,
49	bequeeding it as a rich legacy	Bequeathing it as a rich legacy
50	unto their issues.	Unto their issue.
51	After a patient's gentle friend, I must not read it,	Have patience, gentle friends. I must not read it.
52	it is not me who knows how he's loved you.	It is not meet you know how Caesar loved you.
53	You are not, who you are not told, but men,	You are not wood, you are not stones, but men.
54	and being men, hearing the will of Caesar,	And, being men, hearing the will of Caesar,
55	he will enslave you, he will make you mad,	It will inflame you; it will make you mad.
56	just good you know not that you are his heir,	’Tis good you know not that you are his heirs,
57	for if you should all watch, what some of it is.	For if you should, O, what would come of it?
58	Will you be patient? Will you tell your father,	Will you be patient? Will you stay awhile?
59	I have all shocked myself to tell you of it,	
60	I fear I wronged the honorable men	I have o’ershot myself to tell you of it.
61	whose daggers have Caesar, I do fear it.	I fear I wrong the honorable men
62	You will come tell me then to read the will,	Whose daggers have stabbed Caesar. I do fear it.
63	then make a ring about the corpse of Caesar,	You will compel me, then, to read the will?
64	and let me show you him that made the will,	Then make a ring about the corpse of Caesar,
65	shall I defend, and will you give me leave?	And let me show you him that made the will.
